date,open,high,low,close,volume
2019/4/27,5155.19,5180,5113,5150,2751.24
2019/4/26,5132.55,5291.48,5046.31,5155.19,15033.1
2019/4/25,5440.95,5510,4991.42,5132.55,9893.94
2019/4/24,5531.32,5623.3,5372,5440.95,10521.04
2019/4/23,5386.8,5627,5363.24,5531.32,10132.4
2019/4/22,5295.65,5439.12,5249,5386.8,7127.11
2019/4/21,5318.89,5346.91,5212.8,5295.65,4631.04
2019/4/20,5289.91,5362.97,5253.82,5318.89,3665.57
2019/4/19,5281.58,5357.96,5180.37,5289.91,5285.61
2019/4/18,5233.72,5325,5218.23,5281.58,6375.9
2019/4/17,5202.43,5275.07,5170.01,5233.72,6741.08
2019/4/16,5027.31,5231.96,5014.77,5202.43,7675.4
2019/4/15,5162.72,5192.01,4948.57,5027.31,7423.01
2019/4/14,5063.63,5185.26,5012.73,5162.72,3443.45
2019/4/13,5076.35,5122.01,5033.73,5063.63,4520.44
2019/4/12,5040.2,5122.48,4912,5076.35,8057.04
2019/4/11,5323.47,5344.31,4966.87,5040.2,15052.96
2019/4/10,5192.6,5466.06,5161,5323.47,10723.93
2019/4/9,5287.88,5288.95,5136.01,5192.6,9410.35
2019/4/8,5190.85,5347.37,5127.68,5287.88,13344.98
2019/4/7,5041.39,5253.49,5028.3,5190.85,10872.52
2019/4/6,5039.73,5240,4900,5041.39,10049.84
2019/4/5,4907.94,5067.62,4883.83,5039.73,13023.75
2019/4/4,4978.23,5077.35,4778.59,4907.94,15898.12
2019/4/3,4899.63,5345,4800.5,4978.23,29321.27
2019/4/2,4136.32,5080,4130.64,4899.63,30678.76
2019/4/1,4096.08,4150,4052.56,4136.32,7232.99
2019/3/19,3969.59,3985,3967.57,3978.58,180.41
2019/3/18,3965.5,4016.63,3929.83,3969.59,5420.23
2019/3/17,3990,3992.42,3927.28,3965.5,2711.95
2019/3/16,3901.21,4040,3899.12,3990,6959.48
2019/3/15,3854.77,3912.06,3843.09,3901.21,6411.98
2019/3/14,3848.48,3903.98,3775.01,3854.77,5167.57
2019/3/13,3859.74,3874.68,3820,3848.48,4275.54
2019/3/12,3849.25,3877.69,3791.07,3859.74,5794.61
2019/3/11,3897.92,3912.89,3812.64,3849.25,6612.12
